"Variety"
"Instant Noodles Coconut Milk Flavour"
"Singapore Laksa Wholegrain La Mian"
"Juzz's Mee Creamy Chicken Flavour"
"Singapore Curry Wholegrain La Mian"
"Scallion With Sichuan Pepper  Flavor"
"Tomato Beef Brisket Flavor Purple Potato Noodle"
"Veggie Noodle Tomato Noodle With Vine Ripened Tomato Sauce"
"Penang Hokkien Prawn Noodle (New Improved Taste)"
"Nyonya Curry Laksa"
"Gotsumori Sauce Yakisoba"
"Chef Gold Recipe Mi Kari Seribu Rasa"
"Penang Red Tom Yum Goong Noodle"
"Instant Noodles Shrimp Creamy Tom Yum Flavour Jumbo Pack"
"Oriental Style Instant Noodles Green Curry Flavour Jumbo Pack"
"Chef Curry Laksa Flavour"
"Otafuku Okonomi Sauce Yakisoba"
"Soon Veggie Noodle Soup"
"Instant Noodles Yentafo Tom Yum Mohfai Flavour"
"Singapore Chilli Crab La Mian"
"Maesaengyitangmyun Baked Noodle"
"Cheese Noodle"
"Penang White Curry Noodle"
"Singapore Laksa La Mian"
"Singapore Curry La Mian"
"Jinjja Jinjja Flamin' Hot & Nutty"
"Kokomen Spicy Chicken"
"Mi Goreng Rendang (Import)"
"Spicy Black Pepper"
"Shin Ramyun Black"
"Kari Spesial"
"Yakisoba Noodles Karashi"
"Hyoubanya No Chukasoba Oriental"
"Artificial Chicken"
"Special Fried Curly Noodle"
"Mi Goreng Jumbo Barbecue Chicken"
"Ippeichan Yakisoba"
"Chow Mein"
